Security Code,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name
532918,RATHIBAR,Rathi Bars Ltd,Active,X ,10,INE575I01016,Iron & Steel Products,Equity,Industrials,Capital Goods
532921,ADANIPORTS,Adani Ports and Special Economic Zone Ltd,Active,A ,2,INE742F01042,Port & Port services,Equity,Services,Services
532922,EDELWEISS,Edelweiss Financial Services Ltd,Active,A ,1,INE532F01054,Holding Company,Equity,Financial Services,Financial Services
532923,RGL,Renaissance Global Ltd,Active,B ,2,INE722H01024,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables
532924,KOLTEPATIL,Kolte-Patil Developers Ltd,Active,B ,10,INE094I01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
532925,KAUSHALYA,Kaushalya Infrastructure Development Corporation Ltd,Active,B ,1000,INE234I01028,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
532926,JYOTHYLAB,Jyothy Labs Ltd,Active,A ,1,INE668F01031,Household Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
532927,ECLERX,eClerx Services Ltd,Active,A ,10,INE738I01010,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Equity,Services,Services
532928,TARIL,Transformers and Rectifiers (India) Ltd,Active,B ,1,INE763I01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods
532929,BRIGADE,Brigade Enterprises Ltd,Active,A ,10,INE791I01019,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty
532930,BGRENERGY,BGR Energy Systems Ltd,Active,T ,10,INE661I01014,Civil Construction,Equity,Industrials,Construction
532932,MANAKSIA,Manaksia Ltd,Active,B ,2,INE015D01022,Iron & Steel Products,Equity,Industrials,Capital Goods
532933,PORWAL,Porwal Auto Components Ltd,Active,X ,10,INE386I01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
532934,PPAP,PPAP Automotive Ltd,Active,B ,10,INE095I01015,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components
532935,ARIES,Aries Agro Ltd,Active,B ,10,INE298I01015,Fertilizers,Equity,Commodities,Chemicals
532937,KUANTUM,Kuantum Papers Ltd,Active,B ,1,INE529I01021,Paper & Paper Products,Equity,Commodities,Forest Materials
532939,RPOWER,Reliance Power Ltd,Active,A ,10,INE614G01033,Power Generation,Equity,Utilities,Power
532940,JKIL,J. Kumar Infraprojects Ltd,Active,A ,5,INE576I01022,Civil Construction,Equity,Industrials,Construction
532941,CORDSCABLE,Cords Cable Industries Ltd,Active,B ,10,INE792I01017,Cables - Electricals,Equity,Industrials,Capital Goods
532942,KNRCON,KNR Constructions Ltd,Active,A ,2,INE634I01029,Civil Construction,Equity,Industrials,Construction
532944,ONMOBILE,OnMobile Global Ltd,Active,B ,10,INE809I01019,Web based media and service,Equity,Consumer Discretionary,"Media, Entertainment & Publication"
532945,SEPC,SEPC Ltd,Active,A ,10,INE964H01014,Civil Construction,Equity,Industrials,Construction
532946,BANG,Bang Overseas Ltd,Active,B ,10,INE863I01016,Garments & Apparels,Equity,Consumer Discretionary,Textiles
532947,IRB,IRB Infrastructure Developers Ltd,Active,A ,1,INE821I01022,Civil Construction,Equity,Industrials,Construction
532951,GSS,GSS Infotech Ltd,Active,B ,10,INE871H01011,IT Enabled Services,Equity,Information Technology,Information Technology
532952,NAHARCAP,Nahar Capital and Financial Services Ltd,Active,B ,5,INE049I01012,Investment Company,Equity,Financial Services,Financial Services
532953,VGUARD,V-Guard Industries Ltd,Active,A ,1,INE951I01027,Household Appliances,Equity,Consumer Discretionary,Consumer Durables
532955,RECLTD,REC Ltd,Active,A ,10,INE020B01018,Financial Institution,Equity,Financial Services,Financial Services
532957,GOKAKTEX,Gokak Textiles Ltd,Active,XT,10,INE642I01014,Other Textile Products,Equity,Consumer Discretionary,Textiles
532960,DHANI,Dhani Services Ltd,Active,A ,2,INE274G01010,Other Financial Services,Equity,Financial Services,Financial Services
532966,TITAGARH,Titagarh Rail Systems Ltd,Active,A ,2,INE615H01020,Railway Wagons,Equity,Industrials,Capital Goods
532967,KIRIINDUS,Kiri Industries Ltd,Active,B ,10,INE415I01015,Dyes And Pigments,Equity,Commodities,Chemicals
532974,BIRLAMONEY,Aditya Birla Money Ltd,Active,T ,1,INE865C01022,Stockbroking & Allied,Equity,Financial Services,Financial Services
532975,TELOGICA,Telogica Ltd,Active,Z ,5,INE778I01024,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication
532976,JAIBALAJI,Jai Balaji Industries Ltd,Active,A ,2,INE091G01026,Iron & Steel,Equity,Commodities,Metals & Mining
532977,BAJAJ-AUTO,Bajaj Auto Ltd,Active,A ,10,INE917I01010,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components
532978,BAJAJFINSV,Bajaj Finserv Ltd,Active,A ,1,INE918I01026,Holding Company,Equity,Financial Services,Financial Services
532980,GOKUL,Gokul Refoils & Solvent Ltd,Active,B ,2,INE020J01029,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods
532983,RPGLIFE,RPG Life Sciences Ltd,Active,B ,8,INE105J01010,Pharmaceuticals,Equity,Healthcare,Healthcare
532985,SENSEX1,Kotak S&P BSE Sensex ETF,Active,A ,1,INF174KA1JD7,Mutual Fund Scheme - ETF,Equity,Financial Services,Financial Services
532986,NIRAJ,Niraj Cement Structurals Ltd,Active,B ,10,INE368I01016,Civil Construction,Equity,Industrials,Construction
532989,BAFNAPH,Bafna Pharmaceuticals Ltd,Active,T ,10,INE878I01022,Pharmaceuticals,Equity,Healthcare,Healthcare
532992,CHLLTD,CHL Ltd,Active,X ,2,INE790D01020,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services
